Date,bcom_close
2000-01-03 00:00:00,92.0451
2000-01-04 00:00:00,91.4952
2000-01-05 00:00:00,91.0023
2000-01-06 00:00:00,91.04
2000-01-07 00:00:00,90.7495
2000-01-10 00:00:00,90.99
2000-01-11 00:00:00,92.048
2000-01-12 00:00:00,93.1605
2000-01-13 00:00:00,93.7982
2000-01-14 00:00:00,95.2123
2000-01-18 00:00:00,96.4478
2000-01-19 00:00:00,97.1845
2000-01-20 00:00:00,97.6501
2000-01-21 00:00:00,97.4665
2000-01-24 00:00:00,97.0482
2000-01-25 00:00:00,97.6311
2000-01-26 00:00:00,96.845
2000-01-27 00:00:00,96.9539
2000-01-28 00:00:00,96.5136
2000-01-31 00:00:00,96.8149
2000-02-01 00:00:00,97.5493
2000-02-02 00:00:00,96.7944
2000-02-03 00:00:00,97.1337
2000-02-04 00:00:00,98.9671
2000-02-07 00:00:00,97.6739
2000-02-08 00:00:00,96.4312
2000-02-09 00:00:00,97.654
2000-02-10 00:00:00,99.3157
2000-02-11 00:00:00,98.7966
2000-02-14 00:00:00,98.897
2000-02-15 00:00:00,98.462
2000-02-16 00:00:00,98.7213
2000-02-17 00:00:00,98.3866
2000-02-18 00:00:00,98.3643
2000-02-22 00:00:00,98.3868
2000-02-23 00:00:00,97.9666
2000-02-24 00:00:00,98.2599
2000-02-25 00:00:00,97.6421
2000-02-28 00:00:00,97.3192
2000-02-29 00:00:00,98.0632
2000-03-01 00:00:00,99.838
2000-03-02 00:00:00,99.7028
2000-03-03 00:00:00,100.082
2000-03-06 00:00:00,100.9356
2000-03-07 00:00:00,102.248
2000-03-08 00:00:00,99.4584
2000-03-09 00:00:00,100.5315
2000-03-10 00:00:00,100.0217
2000-03-13 00:00:00,100.7418
2000-03-14 00:00:00,100.7389
2000-03-15 00:00:00,100.0657
2000-03-16 00:00:00,100.3194
2000-03-17 00:00:00,100.4624
2000-03-20 00:00:00,98.1331
2000-03-21 00:00:00,98.5765
2000-03-22 00:00:00,98.5118
2000-03-23 00:00:00,98.1065
2000-03-24 00:00:00,98.7299
2000-03-27 00:00:00,98.6476
2000-03-28 00:00:00,98.0575
2000-03-29 00:00:00,97.0046
2000-03-30 00:00:00,97.5567
2000-03-31 00:00:00,98.5238
2000-04-03 00:00:00,97.6773
2000-04-04 00:00:00,96.145
2000-04-05 00:00:00,96.7044
2000-04-06 00:00:00,95.9536
2000-04-07 00:00:00,95.7411
2000-04-10 00:00:00,94.6463
2000-04-11 00:00:00,94.6278
2000-04-12 00:00:00,96.3874
2000-04-13 00:00:00,96.6937
2000-04-14 00:00:00,95.8689
2000-04-17 00:00:00,96.1503
2000-04-18 00:00:00,96.5329
2000-04-19 00:00:00,97.5554
2000-04-20 00:00:00,97.4023
2000-04-24 00:00:00,97.6826
2000-04-25 00:00:00,97.539
2000-04-26 00:00:00,96.7391
2000-04-27 00:00:00,96.7483
2000-04-28 00:00:00,96.8817
2000-05-01 00:00:00,98.5183
2000-05-02 00:00:00,99.7773
2000-05-03 00:00:00,99.4225
2000-05-04 00:00:00,99.8853
2000-05-05 00:00:00,99.7485
2000-05-08 00:00:00,100.2396
2000-05-09 00:00:00,100.8321
2000-05-10 00:00:00,101.418
2000-05-11 00:00:00,102.38
2000-05-12 00:00:00,102.8206
2000-05-15 00:00:00,102.7036
2000-05-16 00:00:00,103.0516
2000-05-17 00:00:00,103.1237
2000-05-18 00:00:00,103.9822
2000-05-19 00:00:00,104.0066
2000-05-22 00:00:00,103.1693
2000-05-23 00:00:00,103.271
2000-05-24 00:00:00,104.644
2000-05-25 00:00:00,104.8746
2000-05-26 00:00:00,104.7136
2000-05-30 00:00:00,103.9185
2000-05-31 00:00:00,102.8426
2000-06-01 00:00:00,103.4509
2000-06-02 00:00:00,104.1036
2000-06-05 00:00:00,104.2028
2000-06-06 00:00:00,104.1035
2000-06-07 00:00:00,102.7753
2000-06-08 00:00:00,103.2144
2000-06-09 00:00:00,103.6873
2000-06-12 00:00:00,103.9982
2000-06-13 00:00:00,104.4835
2000-06-14 00:00:00,104.4698
2000-06-15 00:00:00,104.7483
2000-06-16 00:00:00,104.1134
2000-06-19 00:00:00,103.0003
2000-06-20 00:00:00,103.3605
2000-06-21 00:00:00,104.5074
2000-06-22 00:00:00,105.6421
2000-06-23 00:00:00,104.8829
2000-06-26 00:00:00,104.5637
2000-06-27 00:00:00,105.3805
2000-06-28 00:00:00,104.9104
2000-06-29 00:00:00,105.7498
2000-06-30 00:00:00,104.7638
2000-07-05 00:00:00,102.0189
2000-07-06 00:00:00,100.7384
2000-07-07 00:00:00,101.632
2000-07-10 00:00:00,101.4318
2000-07-11 00:00:00,101.6973
2000-07-12 00:00:00,101.5617
2000-07-13 00:00:00,102.7323
2000-07-14 00:00:00,102.0742
2000-07-17 00:00:00,101.6829
2000-07-18 00:00:00,103.1257
2000-07-19 00:00:00,102.2697
2000-07-20 00:00:00,101.9356
2000-07-21 00:00:00,100.8852
2000-07-24 00:00:00,99.4907
2000-07-25 00:00:00,99.1324
2000-07-26 00:00:00,99.2002
2000-07-27 00:00:00,99.7807
2000-07-28 00:00:00,99.8776
2000-07-31 00:00:00,99.0044
2000-08-01 00:00:00,99.6364
2000-08-02 00:00:00,100.7664
2000-08-03 00:00:00,100.7538
2000-08-04 00:00:00,101.6325
2000-08-07 00:00:00,100.5354
2000-08-08 00:00:00,101.0251
2000-08-09 00:00:00,101.8786
2000-08-10 00:00:00,102.8316
2000-08-11 00:00:00,102.9829
2000-08-14 00:00:00,103.2509
2000-08-15 00:00:00,102.8862
2000-08-16 00:00:00,103.6102
2000-08-17 00:00:00,103.8571
2000-08-18 00:00:00,104.2183
2000-08-21 00:00:00,105.2951
2000-08-22 00:00:00,104.1362
2000-08-23 00:00:00,104.9454
2000-08-24 00:00:00,104.818
2000-08-25 00:00:00,105.4018
2000-08-28 00:00:00,106.507
2000-08-29 00:00:00,107.0126
2000-08-30 00:00:00,107.924
2000-08-31 00:00:00,108.1696
2000-09-01 00:00:00,108.4174
2000-09-05 00:00:00,109.5395
2000-09-06 00:00:00,110.1072
2000-09-07 00:00:00,110.62
2000-09-08 00:00:00,109.3436
2000-09-11 00:00:00,110.9523
2000-09-12 00:00:00,110.2859
2000-09-13 00:00:00,109.4418
2000-09-14 00:00:00,109.664
2000-09-15 00:00:00,110.3449
2000-09-18 00:00:00,111.1721
2000-09-19 00:00:00,110.6165
